"url"	"title"	"records"	"node_name"	"extent"	"id"
"https://ipt-obis.gbif.us/resource?r=noaa-aoml-gomecc4"	"eDNA from Gulf of Mexico Ecosystems and Carbon Cruise 2021 (GOMECC-4)"	311229	"OBIS USA"	"POLYGON((-97.639 18.836,-97.639 30.111,-79.618 30.111,-79.618 18.836,-97.639 18.836))"	"210efc7c-4762-47ee-b4b5-22a0f436ef44"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_in2015_v03"	"Marine Microbes from RV Investigator voyage IN2015_V03, Australia (2015)"	298007	"OBIS Australia"	"POLYGON((153.0420167 -32.79545,153.0420167 -26.98241667,153.8808167 -26.98241667,153.8808167 -32.79545,153.0420167 -32.79545))"	"d0eeefa4-9d21-4918-a868-7fee1fa863e9"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_ss2010_v09"	"Marine Microbes from RV Southern Surveyor voyage SS2010_V09, Australia (2010)"	260055	"OBIS Australia"	"POLYGON((152.79481 -32.29866,152.79481 -29.13803,154.38861 -29.13803,154.38861 -32.29866,152.79481 -32.29866))"	"b5b9638b-8382-4a0c-9528-a78d3d554dae"
"https://nzobisipt.niwa.co.nz/resource?r=pacman_suva_edna"	"eDNA data collected in Suva, Fiji by the PacMAN project"	200073	"SWP OBIS"	"POLYGON((178.40285 -18.136017,178.40285 -18.1293,178.425933 -18.1293,178.425933 -18.136017,178.40285 -18.136017))"	"bbc947ad-48c0-4235-8398-3c92f0fc994a"
"https://ipt-obis.gbif.us/resource?r=shea_boehm_2024"	"COI data from: Environmental DNA metabarcoding differentiates between micro-habitats within the rocky intertidal (Shea & Boehm, 2024)"	160092	"OBIS USA"	"POLYGON((-122.499198 37.494992,-122.499198 37.495306,-122.498744 37.495306,-122.498744 37.494992,-122.499198 37.494992))"	"54bc0e9c-e857-4216-a6ce-46cd6ae58cd7"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_in2015_c02"	"Marine Microbes from RV Investigator voyage IN2015_C02, Australia (2015)"	150025	"OBIS Australia"	"POLYGON((130.217521 -37.2659,130.217521 -33.05488,136.45298 -33.05488,136.45298 -37.2659,130.217521 -37.2659))"	"b4668bbe-4b5f-412a-ae1f-1dae3dedb38a"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_ss2013_t03"	"Marine Microbes from RV Southern Surveyor voyage SS2013_T03, Australia (2013)"	124988	"OBIS Australia"	"POLYGON((132.92952 -24.55175,132.92952 -10.54188,153.6313 -10.54188,153.6313 -24.55175,132.92952 -24.55175))"	"5dc02afb-4626-4da5-a9f7-5f016230a060"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_ss2012_t07"	"Marine Microbes from RV Southern Surveyor voyage SS2012_T07, Australia (2012)"	112066	"OBIS Australia"	"POLYGON((132.36398 -16.29925,132.36398 -10.7941,146.06018 -10.7941,146.06018 -16.29925,132.36398 -16.29925))"	"a6e50f41-d5b1-4761-80b3-b690452350c9"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_ss2012_v04"	"Marine Microbes from RV Southern Surveyor voyage SS2012_V04, Australia (2012)"	107242	"OBIS Australia"	"POLYGON((103.1885 -32.62009,103.1885 -24.99978,114.54174 -24.99978,114.54174 -32.62009,103.1885 -32.62009))"	"25e116e0-70ad-41a5-a659-cfb16967e1a9"
"https://ipt-obis.gbif.us/resource?r=18s_monterey_bay_time_series_edna"	"18S Monterey Bay Time Series: an eDNA data set from Monterey Bay, California, including years 2006, 2013 - 2016"	64841	"OBIS USA"	"POLYGON((-121.85 36.7933,-121.85 36.7983,-121.8383 36.7983,-121.8383 36.7933,-121.85 36.7933))"	"62b97724-da17-4ca7-9b26-b2a22aeaab51"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_ss2012_t06"	"Marine Microbes from RV Southern Surveyor voyage SS2012_T06, Australia (2012)"	64688	"OBIS Australia"	"POLYGON((112.0001 -31.6775,112.0001 -13.0634,125.0632 -13.0634,125.0632 -31.6775,112.0001 -31.6775))"	"ab590832-cef4-4f05-b412-f956b3aa7e24"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_kaxis"	"Marine Microbes from RV Aurora Australis voyage K-axis, Australia (2016)"	58231	"OBIS Australia"	"POLYGON((74.1272 -65.180667,74.1272 -57.5929,93.57 -57.5929,93.57 -65.180667,74.1272 -65.180667))"	"4afc8df3-31f0-48e9-94f8-534554dbab71"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_in2017_v01"	"Marine Microbes from RV Investigator voyage IN2017_V01, Australia (2017)"	46268	"OBIS Australia"	"POLYGON((119.42 -65.461167,119.42 -48.107,143.579333 -48.107,143.579333 -65.461167,119.42 -65.461167))"	"99659178-978a-4133-952a-1fa821ba8e23"
"https://www.marine.csiro.au/ipt/resource?r=in2017_v01_sedadna"	"eDNA samples from the surface ocean to the seafloor collected by RV Investigator voyage IN2017_V01 - Linking Modern and Paleo-Genetics at the Sabrina Coast East Antarctica (2017)"	43422	"OBIS Australia"	"POLYGON((115.623 -64.72938,115.623 -64.471,118.69738 -64.471,118.69738 -64.72938,115.623 -64.72938))"	"df5b766e-d7a3-400e-944e-444289f54a62"
"https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_in2014_e03"	"Marine Microbes from RV Investigator voyage IN2014_E03, Australia (2014)"	38389	"OBIS Australia"	"POLYGON((148.4883333 -42.30388,148.4883333 -42.26686667,148.97 -42.26686667,148.97 -42.30388,148.4883333 -42.30388))"	"c82dd852-a454-4a5b-8515-ece289f382d3"
"https://ipt.vliz.be/upload/resource?r=arms_18s_2018-20"	"ARMS-MBON data on long-term monitoring of hard-bottom communities: 18S results from 2018-2020"	20219	"EurOBIS,OBIS UK"	"POLYGON((-8.7787 29.50555,-8.7787 78.21302778,34.934444 78.21302778,34.934444 29.50555,-8.7787 29.50555))"	"0ada9b0c-14f5-4247-881e-9f6f62b2c165"
"https://ipt.inbo.be/resource?r=ilvo-metabarcoding-12s-bpns"	"eDNA from water column to characterise fish and invertebrate communities from 30 sites in the Belgian Part of the North Sea -12S"	18769	"EurOBIS"	"POLYGON((2.58625 51.147083,2.58625 51.676115,3.2554 51.676115,3.2554 51.147083,2.58625 51.147083))"	"634b85c1-3f7e-4648-add0-dae012fa7193"
"https://ipt.inbo.be/resource?r=ilvo-metabarcoding-1"	"Vertical and horizontal environmental DNA (eDNA) patterns of fish in a shallow and well-mixed North Sea area"	14673	"EurOBIS"	"POLYGON((2.4509 51.15649,2.4509 51.73846,3.21419 51.73846,3.21419 51.15649,2.4509 51.15649))"	"05d045fc-bbc2-4710-97f6-baeb9e09e8f7"
"https://ipt.vliz.be/upload/resource?r=arms_coi_2018-20"	"ARMS-MBON data on long-term monitoring of hard-bottom communities: COI results from 2018-2020"	11515	"EurOBIS"	"POLYGON((-8.7787 29.50555,-8.7787 78.21302778,34.934444 78.21302778,34.934444 29.50555,-8.7787 29.50555))"	"066f002f-58d5-4687-bdb8-b39cdaef0c2b"
"https://www.marine.csiro.au/ipt/resource?r=in2019_v03_edna_nanopore"	"eDNA samples from the gut content and gut lining of Lanternfish for DNA metabarcoding using Nanopore short-read sequencing method along the 110°E meridian Second International Indian Ocean Expedition (IIOE-2) expedition RV Investigator voyage IN2019_V03 (2019)"	11010	"OBIS Australia"	NA	"5d206e57-370c-453f-a882-b54d517294e7"
"https://ipt.inbo.be/resource?r=ilvo-metabarcoding-coi-bpns"	"eDNA from water column to characterise fish and invertebrate communities from 30 sites in the Belgian Part of the North Sea -COI"	9747	"EurOBIS"	"POLYGON((2.58625 51.147083,2.58625 51.676115,3.2554 51.676115,3.2554 51.147083,2.58625 51.147083))"	"fc7dece0-3901-41dc-ada5-96e51225db3f"
"https://www.marine.csiro.au/ipt/resource?r=in2019_v03_edna"	"Surface eDNA samples of eukaryote micro- and mesoplankton along the 110°E meridian (Second International Indian Ocean Expedition (IIOE-2) expedition) RV Investigator voyage IN2019_V03 (2019)"	4734	"OBIS Australia"	"POLYGON((109.979 -39.491,109.979 -11.504,110.043 -11.504,110.043 -39.491,109.979 -39.491))"	"ef21a152-309e-4cc5-86e6-31336f73535c"
"https://www.marine.csiro.au/ipt/resource?r=csiro_passive_edna_collection"	"Passive eDNA collection enhances aquatic biodiversity analysis, Australia (2019)"	3971	"OBIS Australia"	"POLYGON((122.98317 -33.85017,122.98317 -12.23793,124.131 -12.23793,124.131 -33.85017,122.98317 -33.85017))"	"4fd52bef-1d35-4e06-8281-7213b6dde690"
"https://ipt.biodiversidad.co/sibm/resource?r=utadeo_redtrofica_plastico-toxico"	"Plastisfera en aguas de Magdalena en el Caribe colombiano"	3878	"OBIS Colombia"	"POLYGON((-74.09630556 9.458055556,-74.09630556 11.07266667,-73.68438889 11.07266667,-73.68438889 9.458055556,-74.09630556 9.458055556))"	"f872516e-c08c-413e-a119-6aadbd899cbc"
"https://ipt-obis.gbif.us/resource?r=mbonfknmsedna"	"Marine zooplankton community structure through environmental DNA metabarcoding in the Florida Keys, collected by the South Florida Program (NOAA/AOML) and the Marine Biodiversity Observation Network (MBON)"	3121	"OBIS USA"	"POLYGON((-81.654 24.28604,-81.654 25.352,-80.2285 25.352,-80.2285 24.28604,-81.654 24.28604))"	"b41e10e2-5717-4bb3-b06a-7840a62aebcc"
"https://www.godac.jamstec.go.jp/ipt/resource?r=jamstec_sip-2-prokaryotes-16s-data_2019"	"Environmental baseline data in abyssal plain off Minami Torishima based on 16S rRNA gene"	1989	"OBIS Japan"	"POLYGON((153.08092833333333 21.875001666666666,153.08092833333333 23.000265,154.33979833333333 23.000265,154.33979833333333 21.875001666666666,153.08092833333333 21.875001666666666))"	"e43c0ba8-bd91-4db6-ac2b-17059ec30d94"
"https://ipt-obis.gbif.us/resource?r=rockefeller_njtrawl_edna_assessment"	"eDNA observations, concurrent with trawl survey, of marine fish in coastal New Jersey, USA 2019"	1604	"OBIS USA"	"POLYGON((-74.969 38.658,-74.969 40.468,-73.862 40.468,-73.862 38.658,-74.969 38.658))"	"fe2ed263-2b21-47d7-a79f-f9b911132398"
"https://www.marine.csiro.au/ipt/resource?r=ala_dr8132"	"Ecosystem biomonitoring with eDNA: Metabarcoding across the tree of life in a tropical marine environment. Coral Bay, Ningaloo Reef, Western Australia (2015)"	451	"OBIS Australia"	NA	"d71b6687-810e-4234-ae31-386017b5b08a"
"https://www.marine.csiro.au/ipt/resource?r=ala_dr11663"	"DNA metabarcoding assays reveal a diverse prey assemblage for Mobula rays in the Bohol Sea, Philippines (2013-2015)"	438	"OBIS Australia"	NA	"13977fac-0505-4aad-af35-7d1884933d9d"
"https://ipt.obis.org/secretariat/resource?r=new-caledonia-bakker-2017"	"Environmental DNA reveals tropical shark diversity in contrasting levels of anthropogenic impact"	429	"OBIS Secretariat"	"POLYGON((-87.875989 -22.38079,-87.875989 25.797046,166.28214 25.797046,166.28214 -22.38079,-87.875989 -22.38079))"	"dbb57c74-c34c-4502-b1d0-15324a7fabc4"
"https://ipt.vliz.be/upload/resource?r=arms_its_2018-20"	"ARMS-MBON data on long-term monitoring of hard-bottom communities: ITS results from 2018-2020"	320	"EurOBIS,OBIS UK"	"POLYGON((-8.7787 35.343153,-8.7787 78.21302778,25.27876 78.21302778,25.27876 35.343153,-8.7787 35.343153))"	"ddab58b2-0072-41b8-afc5-ac10d937247f"
"https://www.marine.csiro.au/ipt/resource?r=csiro_browse_island_dna"	"Maximising fish detection with eDNA metabarcoding, Browse Island, Australia (2017)"	293	"OBIS Australia"	"POLYGON((123.54565 -14.1116,123.54565 -14.10443,123.5469 -14.10443,123.5469 -14.1116,123.54565 -14.1116))"	"80321efa-4868-49f2-bd21-c14fcd0dedba"
"https://ipt.obis.org/secretariat/resource?r=banc-darguin-de-la-hoz-schilling-2021"	"DNA barcoding as a tool to explore elasmobranch diversity in environmental DNA off the Banc d’Arguin (Mauritania)"	264	"OBIS Secretariat"	"POLYGON((-16.993395 19.355537,-16.993395 21.071735,-16.304943 21.071735,-16.304943 19.355537,-16.993395 19.355537))"	"03a05731-fe72-4958-827a-5d055876b441"
"https://www.godac.jamstec.go.jp/ipt/resource?r=jamstec_sip-2-meiofauna-18s-data_2022"	"Environmental baseline data in abyssal plain off Minami Torishima based on 18S rRNA gene obtained from the 2022 cruise"	252	"OBIS Japan"	"POLYGON((153.8771 22.9966,153.8771 23.0629,154.4105 23.0629,154.4105 22.9966,153.8771 22.9966))"	"d0f701be-3a76-4016-a9db-ac167a4dcae9"
"https://ipt.gbif.fr/resource?r=edna_marine_vertebrates_guadeloupe"	"eDNA-based survey of the marine vertebrate biodiversity off the west coast of Guadeloupe (French West Indies)"	200	"OBIS Secretariat"	NA	"2b47cfee-0233-4bd8-8f12-58a2fc3c5556"
"https://www.godac.jamstec.go.jp/ipt/resource?r=jamstec_sip-2-meiofauna-18s-data_2019"	"Environmental baseline data in abyssal plain off Minami Torishima based on 18S rRNA gene"	179	"OBIS Japan"	"POLYGON((153.0809283 21.87500167,153.0809283 23.000265,154.3397983 23.000265,154.3397983 21.87500167,153.0809283 21.87500167))"	"5771fca9-fc39-4c57-b70c-d9e9dffefaf4"
"https://ipt.biodiversity.aq/resource?r=mna_echinodermata_holothuroidea"	"Distributional records of sea cucumbers (Echinodermata, Holothuroidea) based on the collection stored at the Italian National Antarctic Museum (MNA, section of Genoa)"	156	"Antarctic OBIS"	"POLYGON((-179.5053 -77.6513,-179.5053 -61.9342,175.8245 -61.9342,175.8245 -77.6513,-179.5053 -77.6513))"	"a047f4a5-e900-435b-8582-c7c8bf73b8ce"
"https://ipt-obis.gbif.us/resource?r=halophila_hawaiiana_its_sequence_data_2022"	"Halophila hawaiiana ITS sequence data 2022"	80	"OBIS USA"	"POLYGON((-157.926 21.262969,-157.926 21.65929,-157.721 21.65929,-157.721 21.262969,-157.926 21.262969))"	"7ae483d8-7433-40aa-a73b-947188aecdb8"
"https://ipt.iobis.org/indobis/resource?r=deepsea_carideanshrimps"	"Molecular Sequences of Deepsea Caridean Shrimp based on 16S and COI from Southern coast of India during 2013-2017"	71	"IndOBIS"	"POLYGON((75.1018 8.3004,75.1018 11.2493,78.3616 11.2493,78.3616 8.3004,75.1018 8.3004))"	"f61ec56a-9295-4224-9f70-67a058837ed5"
"https://ipt.iobis.org/indobis/resource?r=portunidae_molecular_data"	"Morphological and molecular systematics of swimming crabs (Decapoda: Brachyura: Portunidae) from India collected on-board the FORV Sagar Sampada (cruise no. 378, 385 and 392), with notes on biogeography of the Indian portunid fauna"	21	"IndOBIS"	"POLYGON((69.55 6.65,69.55 20.01,93.83 20.01,93.83 6.65,69.55 6.65))"	"b233ac34-c478-452b-8b25-4a338b39b9ed"
"http://ipt.iobis.org/indobis/resource?r=anomura_dnadata"	"DNA barcoding of the Anomuran crabs of Indian EEZ using COI and 16S rRNA genes"	14	"IndOBIS"	"POLYGON((71.82 6.8,71.82 17.46,93.69 17.46,93.69 6.8,71.82 6.8))"	"d7bf65ae-d272-4ee1-a296-d4f33bca827e"
"http://ipt.iobis.org/indobis/resource?r=kogia_breviceps_dna_record"	"Confirmation of pygmy sperm whale, Kogia breviceps from Palk Bay, India through Cytochrome Oxidase1 (COI) sequence"	1	"IndOBIS"	NA	"f6db2e52-e89d-4e7b-950d-6001e54424c9"
